UID,Name,Frei_MVA,Belegt_MVA,Breite,Länge,Bundesland,Betreiber,Kontakt,Webseite,Wind_ms,Solar_kWh
0,UW Deutschkreutz,0.0,4.0,47.59655,16.59746,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,21.13,1351.0
1,UW Eisenstadt**,0.0,18.0,47.84417,16.5461,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,21.14,1348.5
2,UW Eltendorf,1.0,9.0,47.01042,16.19146,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,14.9,1372.4
3,UW Frauenkirchen**,0.0,4.0,47.84467,16.90066,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,21.55,1345.0
4,UW Güssing,1.0,21.0,47.07376,16.31765,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,15.44,1367.4
5,UW Jennersdorf,3.0,16.0,46.92889,16.12809,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,16.53,1373.3
6,UW Markt St. Martin,1.0,5.0,47.5573,16.41989,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,21.69,1339.0
7,UW Mattersburg,0.0,19.0,47.72241,16.38294,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,20.4,1338.4
8,UW Neudörfl**,0.0,3.0,47.80162,16.27389,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,18.64,1336.0
9,UW Neusiedl,0.0,22.0,47.96071,16.8363,Burgenland,Netz Burgenland GmbH,"info@netzburgenland.at, +43 0800 888 9001",https://www.netzburgenland.at/strom/photovoltaik/,22.55,1344.0
